,chemical,name,description,coordinates,flight,lon,lat,alt
231,METHANOL,TAR_Codetta_220517_210021_v1s,,"(-122.123702, 38.062225, 0.0)",Flight 220517a,-122.123702,38.062225,0.0
232,METHYL ACETATE,TAR_Codetta_220517_203218_v1s,,"(-122.297941, 37.863335, 0.0)",Flight 220517a,-122.297941,37.863335,0.0
233,PENTAFLUOROETHANE,TAR_Codetta_220517_200000_v1s,,"(-122.14659, 37.760857, 0.0)",Flight 220517a,-122.14659,37.760857,0.0
234,PENTAFLUOROETHANE,TAR_Codetta_220517_201010_v1s,,"(-122.20244, 37.736721, 0.0)",Flight 220517a,-122.20244,37.736721,0.0
235,PENTAFLUOROETHANE,TAR_Codetta_220517_202323_v1s,,"(-122.404642, 37.790978, 0.0)",Flight 220517a,-122.404642,37.790978,0.0
236,SULFUR DIOXIDE,TAR_Codetta_220517_210021_v1s,,"(-122.115658, 38.033175, 0.0)",Flight 220517a,-122.115658,38.033175,0.0
237,SULFUR HEXAFLUORIDE,TAR_Codetta_220517_203218_v1s,,"(-122.351235, 37.918475, 0.0)",Flight 220517a,-122.351235,37.918475,0.0
238,SULFUR HEXAFLUORIDE,TAR_Codetta_220517_204124_v1s,,"(-122.351158, 37.918307, 0.0)",Flight 220517a,-122.351158,37.918307,0.0
239,SULFURYL FLUORIDE,TAR_Codetta_220517_201010_v1s,,"(-122.240798, 37.73404, 0.0)",Flight 220517a,-122.240798,37.73404,0.0
240,"1,1,1,2-TETRAFLUOROETHANE",TAR_Codetta_220517_235136_v1s,,"(-122.227139, 38.105492, 0.0)",Flight 220517b,-122.227139,38.105492,0.0
241,AMMONIA,TAR_Codetta_220517_230558_v1s,,"(-122.168, 37.800595, 0.0)",Flight 220517b,-122.168,37.800595,0.0
242,AMMONIA,TAR_Codetta_220517_231452_v1s,,"(-122.217838, 37.766805, 0.0)",Flight 220517b,-122.217838,37.766805,0.0
243,AMMONIA,TAR_Codetta_220517_234300_v1s,,"(-122.28209, 37.961374, 0.0)",Flight 220517b,-122.28209,37.961374,0.0
244,AMMONIA,TAR_Codetta_220518_000030_v1s,,"(-122.107657, 38.019832, 0.0)",Flight 220517b,-122.107657,38.019832,0.0
245,CARBON DIOXIDE,TAR_Codetta_220517_232715_v1s,,"(-122.387679, 37.811368, 0.0)",Flight 220517b,-122.387679,37.811368,0.0
246,CARBON DIOXIDE,TAR_Codetta_220517_234300_v1s,,"(-122.382342, 37.967693, 0.0)",Flight 220517b,-122.382342,37.967693,0.0
247,CARBON DIOXIDE,TAR_Codetta_220518_000030_v1s,,"(-122.06762, 38.020752, 0.0)",Flight 220517b,-122.06762,38.020752,0.0
248,CHLORODIFLUOROMETHANE,TAR_Codetta_220517_231452_v1s,,"(-122.286929, 37.803198, 0.0)",Flight 220517b,-122.286929,37.803198,0.0
249,CHLORODIFLUOROMETHANE,TAR_Codetta_220517_234300_v1s,,"(-122.368481, 37.969645, 0.0)",Flight 220517b,-122.368481,37.969645,0.0
250,DIFLUOROMETHANE,TAR_Codetta_220517_231452_v1s,,"(-122.287065, 37.821426, 0.0)",Flight 220517b,-122.287065,37.821426,0.0
251,ETHENE,TAR_Codetta_220517_231452_v1s,,"(-122.21596, 37.717322, 0.0)",Flight 220517b,-122.21596,37.717322,0.0
252,ETHENE,TAR_Codetta_220517_234300_v1s,,"(-122.394408, 37.945924, 0.0)",Flight 220517b,-122.394408,37.945924,0.0
253,ETHENE,TAR_Codetta_220518_000030_v1s,,"(-122.140934, 38.073179, 0.0)",Flight 220517b,-122.140934,38.073179,0.0
254,METHANE,TAR_Codetta_220517_231452_v1s,,"(-122.295562, 37.825399, 0.0)",Flight 220517b,-122.295562,37.825399,0.0
255,METHANE,TAR_Codetta_220517_234300_v1s,,"(-122.39771, 37.952864, 0.0)",Flight 220517b,-122.39771,37.952864,0.0
256,METHANE,TAR_Codetta_220518_000030_v1s,,"(-122.24994, 38.042985, 0.0)",Flight 220517b,-122.24994,38.042985,0.0
257,METHANOL,TAR_Codetta_220517_232715_v1s,,"(-122.416871, 37.773709, 0.0)",Flight 220517b,-122.416871,37.773709,0.0
258,METHYL ACETATE,TAR_Codetta_220517_232715_v1s,,"(-122.416871, 37.773709, 0.0)",Flight 220517b,-122.416871,37.773709,0.0
259,METHYL METHACRYLATE,TAR_Codetta_220517_231452_v1s,,"(-122.191556, 37.741604, 0.0)",Flight 220517b,-122.191556,37.741604,0.0
260,SULFUR HEXAFLUORIDE,TAR_Codetta_220517_232715_v1s,,"(-122.39169, 37.767088, 0.0)",Flight 220517b,-122.39169,37.767088,0.0
261,SULFUR HEXAFLUORIDE,TAR_Codetta_220517_234300_v1s,,"(-122.351185, 37.918217, 0.0)",Flight 220517b,-122.351185,37.918217,0.0
262,SULFURYL FLUORIDE,TAR_Codetta_220517_231452_v1s,,"(-122.240793, 37.734113, 0.0)",Flight 220517b,-122.240793,37.734113,0.0
263,"1,1,1,2-TETRAFLUOROETHANE",TAR_Gemini_230326_200444_v1s,,"(-122.274284, 38.10221, 0.0)",Flight 230326a,-122.274284,38.10221,0.0
264,ACETIC ACID,TAR_Gemini_230326_195451_v1s,,"(-122.392281, 37.967067, 0.0)",Flight 230326a,-122.392281,37.967067,0.0
265,AMMONIA,TAR_Gemini_230326_190019_v1s,,"(-122.21451, 37.764058, 0.0)",Flight 230326a,-122.21451,37.764058,0.0
266,AMMONIA,TAR_Gemini_230326_192150_v1s,,"(-122.194681, 37.715022, 0.0)",Flight 230326a,-122.194681,37.715022,0.0
267,AMMONIA,TAR_Gemini_230326_193536_v1s,,"(-122.408832, 37.782459, 0.0)",Flight 230326a,-122.408832,37.782459,0.0
268,AMMONIA,TAR_Gemini_230326_195451_v1s,,"(-122.371505, 37.963078, 0.0)",Flight 230326a,-122.371505,37.963078,0.0
269,AMMONIA,TAR_Gemini_230326_200444_v1s,,"(-122.21986, 38.087194, 0.0)",Flight 230326a,-122.21986,38.087194,0.0
270,AMMONIA,TAR_Gemini_230326_201528_v1s,,"(-122.142724, 38.07138, 0.0)",Flight 230326a,-122.142724,38.07138,0.0
271,AMMONIA,TAR_Gemini_230326_202507_v1s,,"(-122.116851, 38.018054, 0.0)",Flight 230326a,-122.116851,38.018054,0.0
272,CARBON DIOXIDE,TAR_Gemini_230326_192150_v1s,,"(-122.296482, 37.826195, 0.0)",Flight 230326a,-122.296482,37.826195,0.0
273,CARBON DIOXIDE,TAR_Gemini_230326_193536_v1s,,"(-122.408836, 37.782191, 0.0)",Flight 230326a,-122.408836,37.782191,0.0
274,CARBON DIOXIDE,TAR_Gemini_230326_195451_v1s,,"(-122.390288, 37.943008, 0.0)",Flight 230326a,-122.390288,37.943008,0.0
275,CARBON DIOXIDE,TAR_Gemini_230326_201528_v1s,,"(-122.13351, 38.074731, 0.0)",Flight 230326a,-122.13351,38.074731,0.0
276,CARBON DIOXIDE,TAR_Gemini_230326_202507_v1s,,"(-122.128149, 38.02636, 0.0)",Flight 230326a,-122.128149,38.02636,0.0
277,DIFLUOROMETHANE,TAR_Gemini_230326_192150_v1s,,"(-122.291793, 37.83389, 0.0)",Flight 230326a,-122.291793,37.83389,0.0
278,ETHANE,TAR_Gemini_230326_201528_v1s,,"(-122.254779, 38.046153, 0.0)",Flight 230326a,-122.254779,38.046153,0.0
279,ETHANOL,TAR_Gemini_230326_195451_v1s,,"(-122.375813, 37.960481, 0.0)",Flight 230326a,-122.375813,37.960481,0.0
280,ETHENE,TAR_Gemini_230326_192150_v1s,,"(-122.319186, 37.796874, 0.0)",Flight 230326a,-122.319186,37.796874,0.0
281,ETHENE,TAR_Gemini_230326_193536_v1s,,"(-122.410367, 37.786612, 0.0)",Flight 230326a,-122.410367,37.786612,0.0
282,ETHENE,TAR_Gemini_230326_201528_v1s,,"(-122.137519, 38.07045, 0.0)",Flight 230326a,-122.137519,38.07045,0.0
283,METHANE,TAR_Gemini_230326_192150_v1s,,"(-122.184336, 37.717699, 0.0)",Flight 230326a,-122.184336,37.717699,0.0
284,METHANE,TAR_Gemini_230326_195451_v1s,,"(-122.397457, 37.952491, 0.0)",Flight 230326a,-122.397457,37.952491,0.0
285,METHANE,TAR_Gemini_230326_201528_v1s,,"(-122.140908, 38.075059, 0.0)",Flight 230326a,-122.140908,38.075059,0.0
286,METHANE,TAR_Gemini_230326_202507_v1s,,"(-122.062062, 38.024156, 0.0)",Flight 230326a,-122.062062,38.024156,0.0
287,METHANOL,TAR_Gemini_230326_195451_v1s,,"(-122.3758, 37.937565, 0.0)",Flight 230326a,-122.3758,37.937565,0.0
288,NITROUS OXIDE,TAR_Gemini_230326_195451_v1s,,"(-122.364023, 37.948296, 0.0)",Flight 230326a,-122.364023,37.948296,0.0
289,PENTAFLUOROETHANE,TAR_Gemini_230326_192150_v1s,,"(-122.291793, 37.83389, 0.0)",Flight 230326a,-122.291793,37.83389,0.0
290,PROPENE,TAR_Gemini_230326_195451_v1s,,"(-122.400604, 37.949075, 0.0)",Flight 230326a,-122.400604,37.949075,0.0
291,SULFUR DIOXIDE,TAR_Gemini_230326_202507_v1s,,"(-122.115422, 38.034142, 0.0)",Flight 230326a,-122.115422,38.034142,0.0
292,SULFURYL FLUORIDE,TAR_Gemini_230326_190019_v1s,,"(-122.204111, 37.835306, 0.0)",Flight 230326a,-122.204111,37.835306,0.0
293,AMMONIA,TAR_Gemini_230326_230512_v1s,,"(-122.194725, 37.715429, 0.0)",Flight 230326b,-122.194725,37.715429,0.0
294,AMMONIA,TAR_Gemini_230326_233515_v1s,,"(-122.374211, 37.96397, 0.0)",Flight 230326b,-122.374211,37.96397,0.0
295,AMMONIA,TAR_Gemini_230326_235632_v1s,,"(-122.215822, 38.05677, 0.0)",Flight 230326b,-122.215822,38.05677,0.0
296,AMMONIA,TAR_Gemini_230327_000721_v1s,,"(-122.118027, 38.027238, 0.0)",Flight 230326b,-122.118027,38.027238,0.0
297,CARBON DIOXIDE,TAR_Gemini_230326_230512_v1s,,"(-122.243154, 37.719719, 0.0)",Flight 230326b,-122.243154,37.719719,0.0
298,CARBON DIOXIDE,TAR_Gemini_230326_231811_v1s,,"(-122.408854, 37.782505, 0.0)",Flight 230326b,-122.408854,37.782505,0.0
299,CARBON DIOXIDE,TAR_Gemini_230326_233515_v1s,,"(-122.390569, 37.942115, 0.0)",Flight 230326b,-122.390569,37.942115,0.0
300,CARBON DIOXIDE,TAR_Gemini_230326_235632_v1s,,"(-122.137131, 38.07063, 0.0)",Flight 230326b,-122.137131,38.07063,0.0
301,CARBON DIOXIDE,TAR_Gemini_230327_000721_v1s,,"(-122.116543, 38.020239, 0.0)",Flight 230326b,-122.116543,38.020239,0.0
302,ETHENE,TAR_Gemini_230326_231811_v1s,,"(-122.410375, 37.786611, 0.0)",Flight 230326b,-122.410375,37.786611,0.0
303,ETHENE,TAR_Gemini_230326_235632_v1s,,"(-122.137226, 38.070575, 0.0)",Flight 230326b,-122.137226,38.070575,0.0
304,METHANE,TAR_Gemini_230326_235632_v1s,,"(-122.140914, 38.075133, 0.0)",Flight 230326b,-122.140914,38.075133,0.0
305,METHANE,TAR_Gemini_230327_000721_v1s,,"(-122.113472, 38.014515, 0.0)",Flight 230326b,-122.113472,38.014515,0.0
306,NITROUS OXIDE,TAR_Gemini_230326_233515_v1s,,"(-122.36373, 37.948553, 0.0)",Flight 230326b,-122.36373,37.948553,0.0
307,PROPENE,TAR_Gemini_230326_233515_v1s,,"(-122.400386, 37.949144, 0.0)",Flight 230326b,-122.400386,37.949144,0.0
308,SULFURYL FLUORIDE,TAR_Gemini_230326_225544_v1s,,"(-122.20404, 37.83531, 0.0)",Flight 230326b,-122.20404,37.83531,0.0
